PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Kinetic Aqueous Solubility (ug/mL),Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates type of activity observed: 0-10: Low Solubility  >10: Moderate/High Solubility,Numerical value of the observed aqueous solubility.,Annotation/notes on a particular compound's data or its analysis as described in the published paper.
1,387065710,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Active,100,,,Moderate/High,>100,class = 0
2,174007039,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,Active,100,,,Moderate/High,>100,class = 0
3,144206281,5388936,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC(=O)C[C@H]3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C,Active,100,,,Moderate/High,>100,class = 0
4,377020233,3038525,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl,Active,100,,,Moderate/High,>100,class = 0
5,124391163,53255421,C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=NOC=C3,Active,100,,,Moderate/High,>100,class = 0
6,124953113,54677920,CC1=CC=C(N1)C(=O)OC2C(C(OC(C2OC)(C)C)OC3=C(C4=C(C=C3)C(=C(C(=O)O4)NC(=O)C5=CC(=C(C=C5)O)CC=C(C)C)O)Cl)O,Active,100,,,Moderate/High,>100,class = 0
7,363677239,22049997,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C,Active,100,,,Moderate/High,>100,class = 0
8,174007026,68938909,CC1=C(C(=NN1C)COC2=CC=C(C=C2)N3CCN(CC3)C(=O)C)C4=CC=CC5=C4N(C(=C5CCCOC6=CC=CC7=CC=CC=C76)C(=O)O)CC8=CN=CC=C8,Active,100,,,Moderate/High,>100,class = 0
9,174007008,73265331,CC1=CC(=CC(=C1Cl)C)OCCCC2=C(N(C3=C2C=CC=C3C4=C(N(N=C4COC5=CC=C(C=C5)N6CCN(CC6)C(=O)C)C)C)CC7=CN=CC=C7)C(=O)O,Active,100,,,Moderate/High,>100,class = 0
10,363678054,1791111,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)COC3=C(C=C(C=C3)Br)Cl)C,Active,100,,,Moderate/High,>100,class = 0
11,375863122,110202952,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)C(=O)C3=NN(C4=CC=CC=C43)C,Active,100,,,Moderate/High,>100,class = 0
12,375851432,124050542,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)C(=O)C3=NNC4=CC=CC=C43,Active,100,,,Moderate/High,>100,class = 0
13,375855233,124050558,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)C(=O)C3=NN(C4=CC=CC=C43)C,Active,100,,,Moderate/High,>100,class = 0
14,124878590,3246584,C[C@H]1C(=O)N[C@@H](C(=O)N([C@@H](C(=O)N[C@@H](C(=O)N([C@H]2[C@@H](C3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@@H](C(=O)N1)N(C2=O)C)O)O)C)C)CC5=CC=C(C=C5)OC)C)C,Active,96,,,Moderate/High,96.39,class = 0
15,375886913,134807381,CC1=CC2=C(N=C(C=C2N1CCN(C)C)C3=C(ON=C3C)C)C4=CC(=C(C=C4)OC)OC,Active,96,,,Moderate/High,>96,class = 0
16,375887043,134807511,C1COCCN1C2=C3C=CN(C3=CC(=N2)C4=CC5=C(C=C4)C(=O)NC5)CC6=CC=NC=C6,Active,94,,,Moderate/High,>94,class = 0
17,375885777,134806245,C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,Active,94,,,Moderate/High,>94,class = 0
18,375801566,40724396,CC(C)NC(=O)N1C[C@@H]2C[C@H](C1)C3=CC=C(C(=O)N3C2)C4=CC(=CC=C4)C(F)(F)F,Active,93,,,Moderate/High,>93,class = 0
