,SMILES,InChIKey
0,O=C(Nc1ncc(-c2ccccc2)s1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,KHIYANZJZPOERY-UHFFFAOYSA-N
1,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2ccc(-c3ccccc3)nn2)cc1,GOMHIKKLHZCVNL-UHFFFAOYSA-N
2,Cc1cnc(-c2ccccc2C2COC2)nc1NCC1CCN(c2cccnc2)CC1,DXCJUNQQRSOMOJ-UHFFFAOYSA-N
3,CN(C)c1ccc(S(=O)(=O)N2CCCCC2)cc1NS(=O)(=O)c1ccc2ccccc2c1,YEVXRWLVKPEMJL-UHFFFAOYSA-N
4,COc1ccc(CN2CCNc3cc(Nc4ccccc4)ncc3C2)cn1,FPGCWSZCMSCZEJ-UHFFFAOYSA-N
5,CCOc1ccc(CCNC(=O)c2cc3sccc3n2CCN(C)C)cc1OCC,LTNDTGMLCTUNAS-UHFFFAOYSA-N
6,Cc1c(C(=O)OCCOc2ccccc2)[nH]c2c1C(=O)CC(c1ccccc1)C2,VDKQVFWCRVGXRS-UHFFFAOYSA-N
7,COc1ccccc1-c1[nH]nc2ncc(-c3ccc(C)cc3)nc12,KJYQCXRQOTZFLE-UHFFFAOYSA-N
8,CCCN1CNc2c(c(=O)[nH]c(=S)n2CCc2cccc(Cl)c2Cl)C1,DXDDWXHNWRDUCF-UHFFFAOYSA-N
9,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2nccs2)cc1,UODHIYDWUXTPFN-UHFFFAOYSA-N
10,NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,IINUNQPYJGJCJI-UHFFFAOYSA-N
11,Oc1ccc(CNc2ccc(F)cc2F)c2cccnc12,TYMPTSBZTZLCMP-UHFFFAOYSA-N
12,Cc1cc(NC(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1,UTTSAVIJOACRKO-UHFFFAOYSA-N
13,CCCCCCOc1ccc(OC(=O)c2ccncc2)cc1,ZDPXTSIEKDPRNT-UHFFFAOYSA-N
14,CCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,HMUUFDCCBCUQAV-UHFFFAOYSA-N
15,COc1cccc(O)c1CNc1ccc(S(=O)(=O)Nc2nccs2)cc1,ZTGLAXPMCHUQAL-UHFFFAOYSA-N
